State,ISO,Total Farmers
Andhra Pradesh,IN-AP,516.0
Arunachal Pradesh,IN-AR,7.0
Assam,IN-AS,84.0
Bihar,IN-BR,0.0
Chhattisgarh,IN-CT,854.0
Goa,IN-GA,0.0
Gujarat,IN-GJ,57.0
Haryana,IN-HR,28.0
Himachal Pradesh,IN-HP,0.0
Jammu and Kashmir,IN-JK,0.0
Jharkhand,IN-JH,0.0
Karnataka,IN-KA,1197.0
Kerala,IN-KL,3.0
Madhya Pradesh,IN-MP,581.0
Maharashtra,IN-MH,3030.0
Manipur,IN-MN,1.0
Meghalaya,IN-ML,2.0
Mizoram,IN-MZ,0.0
Nagaland,IN-NL,0.0
Odisha,IN-OR,23.0
Punjab,IN-PB,100.0
Rajasthan,IN-RJ,3.0
Sikkim,IN-SK,15.0
Tamil Nadu,IN-PY,2.0
Tamil Nadu,IN-TN,2.0
Tamil Nadu,IN-PY,0.0
Tamil Nadu,IN-TN,0.0
Telangana,IN-TG,1358.0
Tripura,IN-TR,1.0
Uttar Pradesh,IN-UP,145.0
Uttarakhand,IN-UT,0.0
West Bengal,IN-WB,0.0
Total (States),,8007.0
Andaman and Nicobar Islands,IN-AN,0.0
Chandigarh,IN-CH,0.0
Dadara and Nagar Haveli,IN-DH,0.0
Daman and Diu,,0.0
,IN-JK,
,IN-DH,
