Crop,State2,Area ,state_order
Potato,Laddakh,170.0,0
Onion,Laddakh,33.0,0
Dry chillies,Jammu and Kashmir,1000.0,1
other oilseeds,Jammu and Kashmir,36.0,1
Turmeric,Jammu and Kashmir,11.0,1
Tobacco,Jammu and Kashmir,161.0,1
Sugarcane,Jammu and Kashmir,709.0,1
Sannhamp,Jammu and Kashmir,669.0,1
Potato,Jammu and Kashmir,5186.0,1
Onion,Jammu and Kashmir,2009.0,1
Garlic,Jammu and Kashmir,201.0,1
Turmeric,Himachal Pradesh,336.0,2
Tobacco,Himachal Pradesh,114.0,2
Sweet potato,Himachal Pradesh,102.0,2
Cotton(lint),Himachal Pradesh,57.0,2
Sugarcane,Himachal Pradesh,36484.0,2
Sannhamp,Himachal Pradesh,38.0,2
Potato,Himachal Pradesh,79591.0,2
Onion,Himachal Pradesh,1919.0,2
Ginger,Himachal Pradesh,1822.0,2
Garlic,Himachal Pradesh,5440.0,2
Dry chillies,Himachal Pradesh,3727.0,2
Coriander,Himachal Pradesh,571.0,2
Cotton(lint),Punjab,724000.0,3
Guar seed,Punjab,140700.0,3
Moong(Green Gram),Punjab,49300.0,3
Sugarcane,Punjab,1912000.0,3
Onion,Uttarakhand,51840.0,4
Turmeric,Uttarakhand,11454.0,4
Sunflower,Uttarakhand,40.0,4
Sugarcane,Uttarakhand,2208474.0,4
Sannhamp,Uttarakhand,4007.0,4
Potato,Uttarakhand,45894.0,4
Garlic,Uttarakhand,65385.0,4
Tobacco,Uttarakhand,1139.0,4
Potato,Chandigarh,633.0,5
Onion,Chandigarh,119.0,5
Guar seed,Haryana,387815.0,6
Turmeric,Haryana,14205.0,6
Tobacco,Haryana,22.0,6
Sweet potato,Haryana,1129.0,6
Sugarcane,Haryana,2763551.0,6
Sannhamp,Haryana,6261.0,6
Onion,Haryana,245597.0,6
Banana,Haryana,206.0,6
Coriander,Haryana,17921.6,6
Cotton(lint),Haryana,631000.0,6
Dry chillies,Haryana,20033.0,6
Garlic,Haryana,32197.0,6
Potato,Haryana,408377.0,6
Ginger,Haryana,2065.0,6
Sugarcane,Delhi,59.0,7
Potato,Delhi,5216.0,7
Moth,Uttar Pradesh,204.0,8
Guar seed,Uttar Pradesh,7282.0,8
Coriander,Uttar Pradesh,11106.0,8
Dry chillies,Uttar Pradesh,49097.0,8
Banana,Uttar Pradesh,5608.0,8
Sannhamp,Uttar Pradesh,17298.0,8
Potato,Uttar Pradesh,2937582.0,8
Turmeric,Uttar Pradesh,6782.0,8
Sugarcane,Uttar Pradesh,14203245.0,8
Garlic,Uttar Pradesh,63096.0,8
Tobacco,Uttar Pradesh,148781.0,8
Sweet potato,Uttar Pradesh,43572.0,8
Onion,Uttar Pradesh,97641.0,8
Peas & beans (Pulses),Uttar Pradesh,408085.0,8
Turmeric,Rajasthan,3442.0,9
Moth,Rajasthan,2697.0,9
Guar seed,Rajasthan,64948610.0,9
other oilseeds,Rajasthan,303256.0,9
Tobacco,Rajasthan,12126.0,9
Garlic,Rajasthan,854993.0,9
Sweet potato,Rajasthan,27991.0,9
Sugarcane,Rajasthan,184494.0,9
Ginger,Rajasthan,897.0,9
Dry chillies,Rajasthan,408376.0,9
Coriander,Rajasthan,3811345.0,9
Banana,Rajasthan,215.0,9
Potato,Rajasthan,183981.0,9
Onion,Rajasthan,1019666.0,9
Tapioca,Rajasthan,108.0,9
Sannhamp,Rajasthan,22210.0,9
Turmeric,Arunachal Pradesh,13388.0,10
Sugarcane,Arunachal Pradesh,30008.0,10
Potato,Arunachal Pradesh,106915.0,10
Oilseeds total,Arunachal Pradesh,661828.0,10
Ginger,Arunachal Pradesh,135712.0,10
Dry chillies,Arunachal Pradesh,51430.0,10
Potato,Sikkim,13230.0,11
other oilseeds,Sikkim,120.0,11
Maize,Sikkim,23580.0,11
Sugarcane,Assam,618036.0,12
Arecanut,Assam,857394.0,12
Banana,Assam,973678.0,12
Black pepper,Assam,43384.0,12
Coconut ,Assam,444197.0,12
Dry chillies,Assam,392715.0,12
Ginger,Assam,215868.0,12
Niger seed,Assam,9914.0,12
Onion,Assam,173679.0,12
Potato,Assam,2001326.0,12
Sesamum,Assam,15765.0,12
Tobacco,Assam,13661.0,12
Sweet potato,Assam,161993.0,12
Tapioca,Assam,68439.0,12
Turmeric,Assam,316927.0,12
Tobacco,West Bengal,277473.0,13
Groundnut,West Bengal,212452.0,13
