,State2,Crop,Value,Area ,state_order
375,Jammu & Kashmir,Horse-gram,14.0,179.33802816901408,0
386,Jammu & Kashmir,Peas & beans (Pulses),14.0,94.03017241379311,0
384,Jammu & Kashmir,Other Cereals,14.0,441.95327102803736,0
383,Jammu & Kashmir,Other  Rabi pulses,14.0,51.65384615384615,0
382,Jammu & Kashmir,Onion,14.0,56.4478527607362,0
381,Jammu & Kashmir,Moth,14.0,223.55045871559633,0
380,Jammu & Kashmir,Moong(Green Gram),14.0,135.65030674846625,0
379,Jammu & Kashmir,Masoor,14.0,75.0909090909091,0
378,Jammu & Kashmir,Maize,14.0,18866.82874617737,0
377,Jammu & Kashmir,Linseed,14.0,39.431372549019606,0
376,Jammu & Kashmir,Jowar,14.0,765.8,0
368,Jammu & Kashmir,Cotton(lint),14.0,11.066666666666666,0
374,Jammu & Kashmir,Groundnut,14.0,13.153846153846153,0
373,Jammu & Kashmir,Gram,14.0,115.46428571428571,0
372,Jammu & Kashmir,Ginger,14.0,9.581395348837209,0
371,Jammu & Kashmir,Garlic,14.0,67.41221374045801,0
370,Jammu & Kashmir,Dry chillies,14.0,67.57446808510639,0
369,Jammu & Kashmir,Cowpea(Lobia),14.0,192.52941176470588,0
387,Jammu & Kashmir,Potato,14.0,104.3945945945946,0
388,Jammu & Kashmir,Ragi,14.0,1194.909090909091,0
385,Jammu & Kashmir,Other Kharif pulses,14.0,280.3970588235294,0
390,Jammu & Kashmir,Rice,14.0,16104.19266055046,0
366,Jammu & Kashmir,Barley,14.0,963.8011049723757,0
365,Jammu & Kashmir,Bajra,14.0,2564.521739130435,0
364,Jammu & Kashmir,Arhar/Tur,14.0,12.0,0
389,Jammu & Kashmir,Rapeseed &Mustard,14.0,3397.111475409836,0
367,Jammu & Kashmir,Coriander,14.0,4.5,0
398,Jammu & Kashmir,Wheat,14.0,20324.366141732284,0
397,Jammu & Kashmir,Urad,14.0,1165.3085106382978,0
399,Jammu & Kashmir,other oilseeds,14.0,73.4090909090909,0
395,Jammu & Kashmir,Tobacco,14.0,9.590909090909092,0
394,Jammu & Kashmir,Sugarcane,14.0,68.275,0
393,Jammu & Kashmir,Small millets,14.0,329.685393258427,0
392,Jammu & Kashmir,Sesamum,14.0,956.3723404255319,0
391,Jammu & Kashmir,Sannhamp,14.0,39.29090909090909,0
396,Jammu & Kashmir,Turmeric,14.0,4.146341463414634,0
353,Himachal Pradesh,Rice,13.0,6981.363636363636,1
354,Himachal Pradesh,Sannhamp,13.0,11.882352941176471,1
355,Himachal Pradesh,Sesamum,13.0,303.96153846153845,1
356,Himachal Pradesh,Small millets,13.0,989.3589743589744,1
352,Himachal Pradesh,Rapeseed &Mustard,13.0,818.5339366515838,1
357,Himachal Pradesh,Soyabean,13.0,84.20567375886525,1
362,Himachal Pradesh,Urad,13.0,942.0456621004566,1
363,Himachal Pradesh,Wheat,13.0,29630.886363636364,1
361,Himachal Pradesh,Turmeric,13.0,25.217054263565892,1
360,Himachal Pradesh,Tobacco,13.0,10.527272727272727,1
359,Himachal Pradesh,Sweet potato,13.0,51.0,1
351,Himachal Pradesh,Ragi,13.0,294.2201834862385,1
358,Himachal Pradesh,Sugarcane,13.0,321.85271317829455,1
350,Himachal Pradesh,Potato,13.0,659.7101449275362,1
337,Himachal Pradesh,Gram,13.0,96.4696132596685,1
348,Himachal Pradesh,Other Kharif pulses,13.0,666.310606060606,1
331,Himachal Pradesh,Barley,13.0,2029.7377049180327,1
332,Himachal Pradesh,Coriander,13.0,21.54225352112676,1
333,Himachal Pradesh,Cotton(lint),13.0,10.9,1
334,Himachal Pradesh,Dry chillies,13.0,70.45283018867924,1
335,Himachal Pradesh,Garlic,13.0,376.04545454545456,1
336,Himachal Pradesh,Ginger,13.0,249.8148148148148,1
338,Himachal Pradesh,Groundnut,13.0,21.053763440860216,1
349,Himachal Pradesh,Peas & beans (Pulses),13.0,392.21478873239437,1
339,Himachal Pradesh,Horse-gram,13.0,213.46268656716418,1
341,Himachal Pradesh,Linseed,13.0,443.3220338983051,1
342,Himachal Pradesh,Maize,13.0,24266.321969696968,1
343,Himachal Pradesh,Masoor,13.0,69.0,1
344,Himachal Pradesh,Moong(Green Gram),13.0,35.53146853146853,1
345,Himachal Pradesh,Moth,13.0,5.348837209302325,1
346,Himachal Pradesh,Onion,13.0,82.70270270270271,1
347,Himachal Pradesh,Other  Rabi pulses,13.0,832.3617021276596,1
340,Himachal Pradesh,Jowar,13.0,95.66666666666667,1
330,Himachal Pradesh,Bajra,13.0,66.91666666666667,1
329,Himachal Pradesh,Arhar/Tur,13.0,37.475,1
762,Punjab,Moth,26.0,137.5,2
770,Punjab,Urad,26.0,542.6086956521739,2
769,Punjab,Sunflower,26.0,1280.952380952381,2
768,Punjab,Sugarcane,26.0,6503.401360544218,2
761,Punjab,Moong(Green Gram),26.0,1157.6119402985075,2
767,Punjab,Sesamum,26.0,864.8305084745763,2
766,Punjab,Rice,26.0,141584.82142857142,2
765,Punjab,Rapeseed &Mustard,26.0,2209.438775510204,2
764,Punjab,Peas & beans (Pulses),26.0,334.6456692913386,2
763,Punjab,Other  Rabi pulses,26.0,536.3636363636364,2
771,Punjab,Wheat,26.0,177888.39285714287,2
759,Punjab,Maize,26.0,11102.405498281787,2
757,Punjab,Jowar,26.0,100.0,2
756,Punjab,Guar seed,26.0,4235.135135135135,2
760,Punjab,Masoor,26.0,361.3138686131387,2
755,Punjab,Groundnut,26.0,839.0243902439024,2
754,Punjab,Gram,26.0,417.9591836734694,2
753,Punjab,Cotton(lint),26.0,47296.50655021834,2
752,Punjab,Barley,26.0,1862.3853211009175,2
751,Punjab,Bajra,26.0,1073.6842105263158,2
750,Punjab,Arhar/Tur,26.0,511.4068441064639,2
758,Punjab,Linseed,26.0,105.88235294117646,2
772,Punjab,other oilseeds,26.0,520.0,2
994,Uttarakhand,Other Kharif pulses,35.0,1059.9959016393443,3
977,Uttarakhand,Arhar/Tur,35.0,225.4759825327511,3
978,Uttarakhand,Bajra,35.0,8.875,3
979,Uttarakhand,Barley,35.0,1692.3772893772893,3
981,Uttarakhand,Garlic,35.0,146.03030303030303,3
982,Uttarakhand,Gram,35.0,71.72972972972973,3
990,Uttarakhand,Moth,35.0,367.06666666666666,3
984,Uttarakhand,Horse-gram,35.0,947.578947368421,3
985,Uttarakhand,Jowar,35.0,4.0,3
986,Uttarakhand,Linseed,35.0,1883.0,3
987,Uttarakhand,Maize,35.0,1563.7578347578349,3
991,Uttarakhand,Onion,35.0,266.98880597014926,3
980,Uttarakhand,Dry chillies,35.0,472.5833333333333,3
989,Uttarakhand,Moong(Green Gram),35.0,397.85393258426967,3
993,Uttarakhand,Other Cereals,35.0,1780.2919708029196,3
983,Uttarakhand,Groundnut,35.0,222.37719298245614,3
1011,Uttarakhand,other oilseeds,35.0,62.829787234042556,3
1010,Uttarakhand,Wheat,35.0,27344.534798534798,3
1009,Uttarakhand,Urad,35.0,759.2646153846154,3
1008,Uttarakhand,Turmeric,35.0,73.42307692307692,3
1007,Uttarakhand,Tobacco,35.0,19.305084745762713,3
1006,Uttarakhand,Sunflower,35.0,25.033898305084747,3
1005,Uttarakhand,Sugarcane,35.0,20834.66037735849,3
992,Uttarakhand,Other  Rabi pulses,35.0,16.956521739130434,3
1004,Uttarakhand,Soyabean,35.0,832.28,3
1002,Uttarakhand,Sesamum,35.0,156.43560606060606,3
1001,Uttarakhand,Sannhamp,35.0,4007.0,3
1000,Uttarakhand,Rice,35.0,17404.257575757576,3
999,Uttarakhand,Rapeseed &Mustard,35.0,1000.0842490842491,3
998,Uttarakhand,Ragi,35.0,10307.017167381975,3
997,Uttarakhand,Potato,35.0,621.6645021645022,3
996,Uttarakhand,Peas & beans (Pulses),35.0,376.1003717472119,3
